"","Abstract","class","Cluster","Flags","StartTime","EndTime"
"1","An Overview of Existing and a Novel Approaches to Multi-label Classification",1,-1,"Keynote",2018-03-18 08:40:00,2018-03-18 09:01:00
"2","A Simple Tool for Bounding the Deviation of Random Matrices on Geometric Sets, with Applications",1,4,"Student",2018-03-18 09:01:00,2018-03-18 09:22:00
"3","Designing and Launching a Professional Master’s Program in Data Science: Tales from the UBC Experience",2,2,"Student",2018-03-18 09:01:00,2018-03-18 09:22:00
"4","Incorporating Simulation-Based Inference in an Introductory Statistics Course",3,31,"Invited",2018-03-18 09:01:00,2018-03-18 09:22:00
"5","Flipping the Online Learning Environment",4,32,"Student",2018-03-18 09:01:00,2018-03-18 09:22:00
"6","Gosset at Guinness: How ‘Student’ Derived (and Checked) the Distribution of his z-statistic",5,20,"Student",2018-03-18 09:01:00,2018-03-18 09:22:00
"7","Inference from Survival Data using Imprecise Probabilities",6,7,"Invited",2018-03-18 09:01:00,2018-03-18 09:22:00
"8","Estimating Cross-validatory Predictive P-values with Integrated Importance Sampling for Disease Mapping Models",7,28,"Invited",2018-03-18 09:01:00,2018-03-18 09:22:00
"9","Continuous Models for Aggregated Spatio-Temporal Data in Practice",8,25,"Student",2018-03-18 09:01:00,2018-03-18 09:22:00
"10","A Bayesian HSROC Model for Network Meta-analysis of Diagnostic Tests",1,4,"Student",2018-03-18 09:22:00,2018-03-18 09:43:00
"11","Factor Copula Analysis for Multivariate Ordinal Data",2,2,"Student",2018-03-18 09:22:00,2018-03-18 09:43:00
"12","Improving Risk Assessment using Market Expectations and Information from Model Risks",3,31,"Invited",2018-03-18 09:22:00,2018-03-18 09:43:00
"13","Balanced Imputation for Swiss Cheese Nonresponse",4,32,"Student",2018-03-18 09:22:00,2018-03-18 09:43:00
"14","Comparison of Multivariate Classifiers in the Presence of Covariates in Repeated Measures Designs",5,20,"Student",2018-03-18 09:22:00,2018-03-18 09:43:00
"15","Multiple Imputation of Incomplete Accelerometer Data",6,7,"Invited",2018-03-18 09:22:00,2018-03-18 09:43:00
"16","A Simple Variance Control Chart with Double Sampling Scheme",7,28,"Invited",2018-03-18 09:22:00,2018-03-18 09:43:00
"17","Geostatistical Inference under Preferential Sampling",8,25,"Student",2018-03-18 09:22:00,2018-03-18 09:43:00
"18","Design and Relative Efficiency of Tracing Studies in Cohorts with Loss to Followup",1,4,"Invited",2018-03-18 09:43:00,2018-03-18 10:04:00
"19","Aggregate Claim Analysis in a Two-sided Exit Setting with Dependence",2,2,"Invited",2018-03-18 09:43:00,2018-03-18 10:04:00
"20","Discordance in Hormone Receptor Status Between Two Primary Breast Cancers: The Impact of Misclassification",3,31,"Invited",2018-03-18 09:43:00,2018-03-18 10:04:00
"21","Non-response Follow-up for Business Surveys",4,32,"Invited",2018-03-18 09:43:00,2018-03-18 10:04:00
"22","Risk Measures Related to both the Information of an Individual Risk and Industry Risk",5,20,"Invited",2018-03-18 09:43:00,2018-03-18 10:04:00
"23","How to Brew your Beer Tour with Data Science",6,7,"Invited",2018-03-18 09:43:00,2018-03-18 10:04:00
"24","Correcting False Discovery Rates for their Bias Toward False Positives",7,28,"Invited",2018-03-18 09:43:00,2018-03-18 10:04:00
"25","Aspects of Genetic Meta-Analysis under Data Uncertainty",1,4,"Invited",2018-03-18 10:04:00,2018-03-18 10:25:00
"26","Practical Testing",2,2,"Invited",2018-03-18 10:04:00,2018-03-18 10:25:00
"27","Testing for Parallel Carryover Effects in Redundant Systems",3,31,"Contributed",2018-03-18 10:04:00,2018-03-18 10:25:00
"28","Educreations: Video Tools for Statistical Teaching",4,32,"Invited",2018-03-18 10:04:00,2018-03-18 10:25:00
"29","Strategies to Handle Missing Binary Outcomes in Cluster Randomized Trials",5,20,"Invited",2018-03-18 10:04:00,2018-03-18 10:25:00
"30","Modelling Multi-Population Mortality Dependence with a Regime-Switching Copula",6,7,"Invited",2018-03-18 10:04:00,2018-03-18 10:25:00
"31","Ordinal Regression for the Analysis of Health Utility Data",7,28,"Contributed",2018-03-18 10:04:00,2018-03-18 10:25:00
"32","Spatially Structured Sparseness in Bayesian Spatial Health Modeling",1,4,"Invited",2018-03-18 10:25:00,2018-03-18 10:46:00
"33","Estimating the Population Size of Greater Victoria’s Injection Drug Users using Capture-Recapture Methods",2,2,"Invited",2018-03-18 10:25:00,2018-03-18 10:46:00
"34","A Longitudinal Linear Mixed Effect Model for Bivariate Responses with Measurement Errors and Misclassification in Covariates",3,31,"Contributed",2018-03-18 10:25:00,2018-03-18 10:46:00
"35","Methods of Selecting a Person within a Household: Mailed Invitations for an Electronic Questionnaire",4,32,"Contributed",2018-03-18 10:25:00,2018-03-18 10:46:00
"36","Pareto-optimal Reinsurance with Two Constraints under Distortion Risk Measure",5,20,"Contributed",2018-03-18 10:25:00,2018-03-18 10:46:00
"37","Estimation and Identification of Varying-Coefficient Additive Models for Locally Stationary Process",6,7,"Contributed",2018-03-18 10:25:00,2018-03-18 10:46:00
"38","Should a Propensity Score be Super? A Comparison of Estimation Methods",7,28,"Contributed",2018-03-18 10:25:00,2018-03-18 10:46:00
"39","Teaching the Statistical Investigation Process with Simulation-Based Inference to Improve Statistical Thinking",1,4,"Invited",2018-03-18 10:46:00,2018-03-18 11:07:00
"40","Mapping Complex Traits, Rare Variants and Interaction via the Coalescent Process with Recombination ",2,2,"Invited",2018-03-18 10:46:00,2018-03-18 11:07:00
"41","Mode Detection in a Non-Stationary Environment",3,31,"Contributed",2018-03-18 10:46:00,2018-03-18 11:07:00
"42","Response Best Subset Selection Model and Efficient Estimation in Multivariate Linear Regression",4,32,"Contributed",2018-03-18 10:46:00,2018-03-18 11:07:00
"43","Tall Tales vs Tall Tails: Rules of Thumb for Statistical Inference",5,20,"Contributed",2018-03-18 10:46:00,2018-03-18 11:07:00
"44","Comparing Bayesian External and Internal Validation Methods in Correcting Outcome Misclassification Bias in Logistic Regression",1,4,"Invited",2018-03-18 11:07:00,2018-03-18 11:28:00
"45","On Total Dividends under a Threshold Strategy",2,2,"Invited",2018-03-18 11:07:00,2018-03-18 11:28:00
"46","Analysis of Recurrent Events with Dynamic Models for Dependent Gap Times: A Copula Approach",3,31,"Contributed",2018-03-18 11:07:00,2018-03-18 11:28:00
"47","A deep learning-based integrative analysis framework for molecular classification of breast cancer",4,32,"Contributed",2018-03-18 11:07:00,2018-03-18 11:28:00
"48","New approach to GIX/Geom/1 Queues involving Heavy-Tailed distributions",5,20,"Contributed",2018-03-18 11:07:00,2018-03-18 11:28:00
"49","Statistical Disclosure Control for Statistical Outputs: Where Do We Go From Here?",1,4,"Invited",2018-03-18 11:28:00,2018-03-18 11:49:00
