"","Subject","Start Date","Start Time","End Date","End Time","All Day Event","Description","Location","Private"
"1","Talk 1","03/19/2018","10:25:00","03/19/2018","10:46:00","","A Bayesian Approach for Pattern Detection in Extremely Small Sample Sizes: Application to Proteomic Cell Line Data of Human Leukemia","AMT 101","FALSE"
"2","Talk 2","03/20/2018","13:30:00","03/20/2018","13:50:00","","A Bayesian Approach to Diagnosis of the Gaussian Random Field Assumption","AMT 100","FALSE"
"3","Talk 3","03/19/2018","13:30:00","03/19/2018","13:52:00","","A Bayesian HSROC Model for Network Meta-analysis of Diagnostic Tests","ASC 165","FALSE"
"4","Talk 4","03/19/2018","13:52:00","03/19/2018","14:14:00","","A Combined Estimating Function Approach to Count Data Regression Modeling","ART 163","FALSE"
"5","Talk 5","03/19/2018","16:14:00","03/19/2018","16:36:00","","A Comparison of Association Methods for Fine-Mapping from Sequence Data in Diploid Populations using the Case-Control Study Design","AMT 101","FALSE"
"6","Talk 6","03/20/2018","14:30:00","03/20/2018","14:50:00","","A Comparison of Mixture Modeling Approaches for Clustering Longitudinal Binary Data","ASC 165","FALSE"
"7","Talk 7","03/18/2018","16:14:00","03/18/2018","16:36:00","","A Convex Regression Approach to Pickands Dependence Function Estimation","AMT 100","FALSE"
"8","Talk 8","03/18/2018","15:30:00","03/18/2018","15:52:00","","A deep learning-based integrative analysis framework for molecular classification of breast cancer","SCI 333","FALSE"
"9","Talk 9","03/18/2018","09:22:00","03/18/2018","09:43:00","","A Dirichlet Regression Model for Compositional Data with Zeros","SCI 333","FALSE"
"10","Talk 10","03/20/2018","09:43:00","03/20/2018","10:04:00","","A Doubly Robust Estimator for Indirectly Standardized Mortality Ratios","ASC 165","FALSE"
"11","Talk 11","03/18/2018","11:28:00","03/18/2018","11:49:00","","A Flexible Parametric Proportional Hazards Model for Time-to-Event Data","AMT 102","FALSE"
"12","Talk 12","03/20/2018","13:30:00","03/20/2018","13:50:00","","A Hierarchical Credibility Approach to Modeling Mortality Rates for Multiple Populations","SCI 124","FALSE"
"13","Talk 13","03/19/2018","15:30:00","03/19/2018","15:52:00","","A Latent Gaussian Mixture Model for Longitudinal Data","ASC 165","FALSE"
"14","Talk 14","03/19/2018","09:43:00","03/19/2018","10:04:00","","A Longitudinal Linear Mixed Effect Model for Bivariate Responses with Measurement Errors and Misclassification in Covariates","AMT 102","FALSE"
"15","Talk 15","03/18/2018","09:22:00","03/18/2018","09:43:00","","A More Dynamic Lab Experience: Implementation of Weekly Automated and Teaching Assistant Supported Lab Exercises to Increase Student Engagement through Small-Step Learning","EME 100","FALSE"
"16","Talk 16","03/19/2018","09:43:00","03/19/2018","10:04:00","","A Multi-State Model for a Life Insurance Product with Integrated Health Rewards Program","AMT 101","FALSE"
"17","Talk 17","03/20/2018","10:04:00","03/20/2018","10:25:00","","A Multivariate Rare-Variant Association Test for Non-Normally Distributed Phenotypes","AMT 102","FALSE"
"18","Talk 18","03/20/2018","14:10:00","03/20/2018","14:30:00","","A New Weighted Quantile Regression","AMT 100","FALSE"
"19","Talk 19","03/19/2018","16:14:00","03/19/2018","16:36:00","","A Nonparametric Test for Detecting Periodicity in Time Series","SCI 333","FALSE"
