"","x"
"1",1
"2",2
"3",3
"4",3
"5",4
"6",5
"7",4
"8",1
"9",4
"10",3
"11",6
"12",4
"13",7
"14",8
"15",8
"16",3
"17",7
"18",8
"19",7
"20",7
"21",1
"22",7
"23",7
"24",1
"25",2
"26",6
"27",8
"28",4
"29",7
"30",8
"31",8
"32",3
"33",3
"34",7
"35",9
"36",3
"37",7
"38",6
"39",8
"40",10
"41",5
"42",1
"43",10
"44",7
"45",8
"46",7
"47",3
"48",7
"49",9
"50",8
"51",8
"52",8
"53",3
"54",2
"55",2
"56",2
"57",6
"58",1
"59",4
"60",7
"61",7
"62",3
"63",3
"64",7
"65",3
"66",3
"67",7
"68",1
"69",1
"70",9
"71",4
"72",11
"73",9
"74",3
"75",3
"76",1
"77",1
"78",4
"79",7
"80",7
"81",7
"82",2
"83",12
"84",12
"85",3
"86",6
"87",4
"88",6
"89",3
"90",11
"91",9
"92",8
"93",8
"94",7
"95",12
"96",3
"97",3
"98",4
"99",3
"100",8
"101",1
"102",6
"103",13
"104",4
"105",1
"106",1
"107",1
"108",4
"109",9
"110",8
"111",8
"112",7
"113",8
"114",7
"115",2
"116",3
"117",9
"118",9
"119",7
"120",9
"121",6
"122",6
"123",13
"124",1
"125",3
"126",13
"127",8
"128",8
"129",7
"130",4
"131",7
"132",7
"133",7
"134",6
"135",7
"136",12
"137",7
"138",13
"139",9
"140",6
"141",3
"142",3
"143",8
"144",13
"145",8
"146",1
"147",2
"148",9
"149",1
"150",7
"151",9
"152",4
"153",7
"154",9
"155",4
"156",8
"157",1
"158",9
"159",2
"160",4
"161",7
"162",3
"163",1
"164",1
"165",8
"166",6
"167",7
"168",7
"169",10
"170",3
"171",8
"172",7
"173",8
"174",7
"175",8
"176",7
"177",6
"178",8
"179",9
"180",3
"181",9
"182",7
"183",7
"184",8
"185",3
"186",3
"187",6
"188",10
"189",13
"190",2
"191",7
"192",3
"193",9
"194",11
"195",13
"196",13
"197",6
"198",10
"199",6
"200",12
"201",3
"202",7
"203",9
"204",8
"205",11
"206",12
"207",8
"208",8
"209",6
"210",8
"211",8
"212",1
"213",6
"214",1
"215",12
"216",1
"217",8
"218",9
"219",6
"220",1
"221",8
"222",3
"223",12
"224",1
"225",10
"226",11
"227",8
"228",9
"229",12
"230",3
"231",9
"232",7
"233",7
"234",3
"235",7
"236",3
"237",7
"238",3
"239",3
"240",3
"241",3
"242",3
"243",7
"244",5
"245",8
"246",3
"247",8
"248",7
"249",8
"250",1
"251",8
"252",8
"253",3
"254",3
"255",3
"256",8
"257",7
"258",11
"259",9
"260",8
"261",8
"262",7
"263",8
"264",11
"265",5
"266",2
"267",7
"268",7
"269",7
"270",8
"271",3
"272",3
"273",1
"274",4
"275",8
"276",1
"277",7
"278",7
"279",10
"280",11
"281",1
"282",1
"283",11
