"","x"
"1",1
"2",2
"3",1
"4",1
"5",4
"6",5
"7",2
"8",6
"9",7
"10",8
"11",2
"12",9
"13",10
"14",4
"15",2
"16",2
"17",8
"18",11
"19",2
"20",8
"21",11
"22",1
"23",12
"24",2
"25",7
"26",9
"27",3
"28",8
"29",8
"30",3
"31",3
"32",12
"33",10
"34",8
"35",3
"36",1
"37",4
"38",8
"39",6
"40",1
"41",6
"42",2
"43",6
"44",2
"45",1
"46",12
"47",12
"48",8
"49",11
"50",2
"51",7
"52",12
"53",3
"54",6
"55",12
"56",11
"57",8
"58",3
"59",11
"60",9
"61",4
"62",11
"63",4
"64",4
"65",2
"66",1
"67",12
"68",1
"69",7
"70",1
"71",2
"72",11
"73",2
"74",10
"75",3
"76",3
"77",4
"78",7
"79",3
"80",3
"81",2
"82",7
"83",3
"84",6
"85",11
"86",1
"87",4
"88",9
"89",11
"90",1
"91",4
"92",4
"93",8
"94",2
"95",10
"96",2
"97",8
"98",1
"99",6
"100",7
"101",3
"102",10
"103",9
"104",3
"105",1
"106",4
"107",6
"108",12
"109",10
"110",12
"111",3
"112",6
"113",3
"114",8
"115",6
"116",8
"117",2
"118",9
"119",3
"120",3
"121",2
"122",7
"123",10
"124",11
"125",8
"126",12
"127",3
"128",7
"129",9
"130",4
"131",3
"132",1
"133",2
"134",1
"135",2
"136",9
"137",2
"138",2
"139",10
"140",10
"141",9
"142",1
"143",8
"144",12
"145",12
"146",1
"147",2
"148",10
"149",10
"150",1
"151",2
"152",11
"153",8
"154",10
"155",10
"156",1
"157",11
"158",8
"159",12
"160",2
"161",8
"162",1
"163",12
"164",1
"165",5
"166",8
"167",2
"168",1
"169",12
"170",1
"171",2
"172",1
"173",3
"174",9
"175",6
"176",3
"177",10
"178",4
"179",9
"180",8
"181",2
"182",8
"183",1
"184",2
"185",4
"186",9
"187",12
"188",2
"189",12
"190",7
"191",3
"192",2
"193",10
"194",10
"195",3
"196",7
"197",8
"198",6
"199",8
"200",12
"201",4
"202",10
"203",9
"204",2
"205",9
"206",9
"207",2
"208",12
"209",11
"210",2
"211",7
"212",1
"213",11
"214",1
"215",5
"216",5
"217",1
"218",2
"219",1
"220",5
"221",3
"222",1
"223",1
"224",8
"225",11
"226",6
"227",3
"228",8
"229",11
"230",3
"231",3
"232",2
"233",8
"234",6
"235",2
"236",1
"237",8
"238",8
"239",6
"240",2
"241",1
"242",3
"243",11
"244",6
"245",12
"246",5
"247",1
"248",8
"249",1
"250",11
"251",8
"252",5
"253",1
"254",3
"255",8
"256",2
"257",3
"258",7
"259",10
"260",3
"261",4
"262",3
"263",3
"264",6
"265",6
"266",4
"267",8
"268",8
"269",9
"270",3
"271",2
"272",1
"273",9
"274",1
"275",1
"276",10
"277",11
"278",11
"279",6
"280",11
"281",7
"282",10
"283",12
