"","x"
"1",1
"2",2
"3",3
"4",4
"5",3
"6",3
"7",3
"8",5
"9",5
"10",4
"11",5
"12",6
"13",2
"14",4
"15",3
"16",5
"17",1
"18",3
"19",3
"20",3
"21",3
"22",4
"23",1
"24",4
"25",1
"26",6
"27",1
"28",5
"29",1
"30",3
"31",3
"32",2
"33",5
"34",4
"35",5
"36",4
"37",3
"38",6
"39",3
"40",3
"41",3
"42",4
"43",5
"44",5
"45",6
"46",1
"47",3
"48",6
"49",4
"50",2
"51",4
"52",1
"53",2
"54",4
"55",1
"56",1
"57",6
"58",1
"59",6
"60",1
"61",5
"62",3
"63",6
"64",6
"65",2
"66",2
"67",3
"68",4
"69",3
"70",5
"71",5
"72",1
"73",3
"74",1
"75",2
"76",4
"77",2
"78",1
"79",1
"80",2
"81",3
"82",3
"83",6
"84",1
"85",3
"86",3
"87",3
"88",6
"89",5
"90",4
"91",6
"92",1
"93",3
"94",4
"95",4
"96",1
"97",2
"98",6
"99",3
"100",2
"101",5
"102",3
"103",3
"104",3
"105",1
"106",5
"107",2
"108",1
"109",5
"110",4
"111",4
"112",4
"113",2
"114",3
"115",1
"116",2
"117",1
"118",3
"119",3
"120",6
"121",5
"122",6
"123",3
"124",3
"125",3
"126",5
"127",3
"128",3
"129",4
"130",3
"131",3
"132",4
"133",2
"134",5
"135",2
"136",1
"137",2
"138",6
"139",3
"140",2
"141",3
"142",2
"143",6
"144",2
"145",3
"146",2
"147",4
"148",1
"149",4
"150",4
"151",6
"152",3
"153",4
"154",5
"155",2
"156",3
"157",1
"158",6
"159",2
"160",2
"161",6
"162",2
"163",6
"164",3
"165",3
"166",6
"167",3
"168",4
"169",6
"170",2
"171",1
"172",2
"173",5
"174",4
"175",4
"176",3
"177",4
"178",1
"179",2
"180",4
"181",1
"182",3
"183",2
"184",3
"185",4
"186",6
"187",5
"188",3
"189",3
"190",4
"191",3
"192",4
"193",4
"194",2
"195",1
"196",3
"197",6
"198",2
"199",3
"200",5
"201",5
"202",2
"203",5
"204",4
"205",1
"206",1
"207",3
"208",6
"209",2
"210",6
"211",3
"212",5
"213",3
"214",6
"215",6
"216",4
"217",5
"218",4
"219",3
"220",4
"221",4
"222",5
"223",4
"224",2
"225",3
"226",4
"227",2
"228",2
"229",4
"230",2
"231",3
"232",6
"233",1
"234",6
"235",2
"236",2
"237",1
"238",5
"239",5
"240",6
"241",3
"242",1
"243",2
"244",3
"245",2
"246",3
"247",3
"248",1
"249",1
"250",4
"251",1
"252",1
"253",3
"254",6
"255",1
"256",4
"257",5
"258",5
"259",1
"260",6
"261",4
"262",1
"263",6
"264",4
"265",6
"266",3
"267",2
"268",5
"269",3
"270",1
"271",5
"272",2
"273",5
"274",3
"275",5
"276",1
"277",3
"278",3
"279",4
"280",4
"281",5
"282",1
"283",4
