"","x"
"1",1
"2",2
"3",3
"4",3
"5",2
"6",4
"7",7
"8",1
"9",2
"10",5
"11",5
"12",2
"13",5
"14",6
"15",5
"16",3
"17",2
"18",5
"19",5
"20",5
"21",7
"22",3
"23",5
"24",6
"25",5
"26",2
"27",5
"28",2
"29",2
"30",5
"31",6
"32",3
"33",5
"34",2
"35",5
"36",3
"37",2
"38",5
"39",2
"40",8
"41",4
"42",3
"43",7
"44",5
"45",5
"46",2
"47",3
"48",2
"49",7
"50",5
"51",5
"52",5
"53",2
"54",2
"55",5
"56",5
"57",2
"58",3
"59",2
"60",5
"61",3
"62",3
"63",3
"64",2
"65",2
"66",2
"67",2
"68",1
"69",6
"70",6
"71",8
"72",8
"73",5
"74",3
"75",3
"76",3
"77",3
"78",3
"79",2
"80",5
"81",2
"82",6
"83",2
"84",1
"85",3
"86",7
"87",3
"88",5
"89",7
"90",4
"91",6
"92",5
"93",5
"94",5
"95",1
"96",3
"97",3
"98",7
"99",3
"100",5
"101",7
"102",7
"103",4
"104",5
"105",3
"106",3
"107",8
"108",5
"109",5
"110",6
"111",5
"112",5
"113",2
"114",5
"115",5
"116",7
"117",5
"118",6
"119",5
"120",5
"121",6
"122",7
"123",7
"124",1
"125",3
"126",6
"127",2
"128",5
"129",3
"130",3
"131",7
"132",2
"133",5
"134",7
"135",5
"136",3
"137",5
"138",7
"139",5
"140",7
"141",5
"142",5
"143",7
"144",2
"145",6
"146",8
"147",5
"148",5
"149",5
"150",2
"151",2
"152",2
"153",5
"154",6
"155",1
"156",6
"157",6
"158",5
"159",2
"160",3
"161",2
"162",3
"163",3
"164",7
"165",2
"166",3
"167",2
"168",3
"169",1
"170",3
"171",6
"172",5
"173",6
"174",7
"175",6
"176",2
"177",7
"178",5
"179",2
"180",2
"181",5
"182",2
"183",5
"184",5
"185",2
"186",2
"187",7
"188",1
"189",6
"190",6
"191",2
"192",3
"193",7
"194",1
"195",1
"196",1
"197",3
"198",1
"199",2
"200",1
"201",5
"202",2
"203",1
"204",5
"205",5
"206",1
"207",2
"208",5
"209",3
"210",6
"211",2
"212",6
"213",6
"214",6
"215",6
"216",6
"217",1
"218",2
"219",7
"220",6
"221",5
"222",7
"223",1
"224",8
"225",4
"226",8
"227",6
"228",5
"229",7
"230",3
"231",5
"232",2
"233",3
"234",7
"235",3
"236",3
"237",2
"238",2
"239",3
"240",3
"241",7
"242",5
"243",2
"244",5
"245",6
"246",3
"247",5
"248",2
"249",5
"250",3
"251",5
"252",5
"253",3
"254",3
"255",2
"256",2
"257",2
"258",1
"259",5
"260",7
"261",3
"262",5
"263",5
"264",8
"265",4
"266",5
"267",2
"268",5
"269",6
"270",5
"271",7
"272",3
"273",2
"274",2
"275",6
"276",2
"277",2
"278",2
"279",8
"280",8
"281",8
"282",8
"283",8
