"","x"
"1",1
"2",2
"3",3
"4",3
"5",3
"6",4
"7",5
"8",5
"9",2
"10",6
"11",6
"12",2
"13",2
"14",8
"15",6
"16",3
"17",9
"18",9
"19",2
"20",9
"21",6
"22",3
"23",7
"24",7
"25",7
"26",7
"27",7
"28",2
"29",9
"30",7
"31",7
"32",3
"33",2
"34",2
"35",7
"36",5
"37",3
"38",7
"39",9
"40",1
"41",1
"42",3
"43",1
"44",2
"45",2
"46",2
"47",3
"48",9
"49",6
"50",9
"51",6
"52",7
"53",2
"54",2
"55",9
"56",9
"57",2
"58",2
"59",2
"60",2
"61",2
"62",3
"63",10
"64",2
"65",3
"66",2
"67",9
"68",6
"69",6
"70",8
"71",5
"72",5
"73",2
"74",5
"75",2
"76",3
"77",2
"78",3
"79",9
"80",9
"81",9
"82",8
"83",7
"84",6
"85",3
"86",10
"87",5
"88",6
"89",6
"90",4
"91",6
"92",7
"93",2
"94",7
"95",4
"96",3
"97",3
"98",5
"99",3
"100",7
"101",6
"102",5
"103",4
"104",6
"105",5
"106",3
"107",5
"108",2
"109",2
"110",2
"111",7
"112",9
"113",9
"114",2
"115",7
"116",6
"117",9
"118",7
"119",9
"120",6
"121",6
"122",5
"123",1
"124",1
"125",2
"126",8
"127",7
"128",7
"129",3
"130",5
"131",6
"132",2
"133",2
"134",10
"135",9
"136",2
"137",7
"138",6
"139",6
"140",10
"141",3
"142",2
"143",10
"144",3
"145",7
"146",1
"147",2
"148",9
"149",2
"150",7
"151",2
"152",6
"153",7
"154",6
"155",8
"156",8
"157",7
"158",2
"159",9
"160",2
"161",2
"162",5
"163",5
"164",5
"165",2
"166",3
"167",2
"168",3
"169",7
"170",10
"171",7
"172",7
"173",9
"174",6
"175",7
"176",9
"177",10
"178",6
"179",9
"180",2
"181",7
"182",9
"183",6
"184",9
"185",3
"186",2
"187",10
"188",8
"189",8
"190",8
"191",3
"192",3
"193",3
"194",4
"195",4
"196",1
"197",5
"198",1
"199",5
"200",8
"201",2
"202",9
"203",6
"204",7
"205",9
"206",6
"207",9
"208",7
"209",5
"210",7
"211",9
"212",8
"213",7
"214",8
"215",6
"216",7
"217",8
"218",9
"219",5
"220",8
"221",7
"222",10
"223",8
"224",1
"225",4
"226",1
"227",7
"228",7
"229",8
"230",2
"231",9
"232",9
"233",2
"234",3
"235",3
"236",3
"237",3
"238",9
"239",10
"240",3
"241",10
"242",6
"243",7
"244",6
"245",8
"246",2
"247",2
"248",9
"249",9
"250",3
"251",7
"252",7
"253",2
"254",5
"255",2
"256",9
"257",9
"258",5
"259",7
"260",6
"261",3
"262",9
"263",7
"264",5
"265",1
"266",7
"267",7
"268",7
"269",7
"270",7
"271",3
"272",3
"273",2
"274",2
"275",7
"276",2
"277",9
"278",7
"279",5
"280",1
"281",6
"282",4
"283",1
