"","x"
"1",1
"2",1
"3",1
"4",1
"5",5
"6",2
"7",2
"8",3
"9",4
"10",4
"11",1
"12",5
"13",1
"14",4
"15",6
"16",4
"17",6
"18",5
"19",5
"20",5
"21",1
"22",1
"23",4
"24",6
"25",4
"26",5
"27",1
"28",4
"29",6
"30",4
"31",6
"32",6
"33",6
"34",5
"35",6
"36",2
"37",6
"38",2
"39",4
"40",2
"41",2
"42",1
"43",1
"44",1
"45",6
"46",5
"47",6
"48",6
"49",1
"50",1
"51",3
"52",5
"53",5
"54",4
"55",6
"56",4
"57",1
"58",1
"59",6
"60",4
"61",5
"62",1
"63",1
"64",6
"65",5
"66",6
"67",5
"68",4
"69",3
"70",3
"71",2
"72",2
"73",5
"74",1
"75",2
"76",1
"77",1
"78",1
"79",4
"80",6
"81",4
"82",2
"83",2
"84",1
"85",6
"86",1
"87",2
"88",4
"89",5
"90",2
"91",4
"92",6
"93",4
"94",1
"95",4
"96",1
"97",4
"98",4
"99",5
"100",6
"101",1
"102",1
"103",4
"104",4
"105",2
"106",7
"107",7
"108",1
"109",5
"110",4
"111",5
"112",5
"113",5
"114",4
"115",2
"116",1
"117",4
"118",4
"119",1
"120",2
"121",5
"122",1
"123",1
"124",5
"125",4
"126",5
"127",4
"128",5
"129",5
"130",6
"131",5
"132",1
"133",6
"134",1
"135",4
"136",5
"137",6
"138",1
"139",6
"140",2
"141",4
"142",1
"143",6
"144",4
"145",4
"146",7
"147",4
"148",1
"149",4
"150",4
"151",4
"152",1
"153",4
"154",1
"155",1
"156",3
"157",4
"158",4
"159",6
"160",6
"161",4
"162",1
"163",1
"164",1
"165",4
"166",1
"167",4
"168",6
"169",5
"170",5
"171",5
"172",4
"173",6
"174",6
"175",5
"176",4
"177",5
"178",4
"179",6
"180",2
"181",6
"182",4
"183",4
"184",5
"185",6
"186",4
"187",4
"188",5
"189",3
"190",1
"191",6
"192",1
"193",1
"194",6
"195",5
"196",7
"197",1
"198",1
"199",5
"200",1
"201",4
"202",6
"203",1
"204",6
"205",4
"206",5
"207",6
"208",6
"209",6
"210",4
"211",6
"212",4
"213",5
"214",3
"215",3
"216",3
"217",1
"218",5
"219",2
"220",3
"221",5
"222",1
"223",3
"224",7
"225",7
"226",7
"227",5
"228",4
"229",1
"230",1
"231",1
"232",4
"233",1
"234",1
"235",1
"236",1
"237",6
"238",6
"239",5
"240",1
"241",4
"242",5
"243",6
"244",6
"245",5
"246",6
"247",1
"248",6
"249",4
"250",4
"251",5
"252",4
"253",6
"254",1
"255",6
"256",1
"257",6
"258",2
"259",6
"260",1
"261",4
"262",4
"263",1
"264",7
"265",7
"266",5
"267",6
"268",5
"269",5
"270",5
"271",4
"272",2
"273",2
"274",1
"275",1
"276",1
"277",1
"278",4
"279",7
"280",4
"281",7
"282",7
"283",2
