abstract,cluster
1,1
2,5
3,7
4,7
5,12
6,16
7,12
8,2
9,12
10,8
11,17
12,13
13,21
14,27
15,28
16,9
17,22
18,29
19,23
20,22
21,3
22,23
23,24
24,4
25,5
26,18
27,30
28,14
29,25
30,28
31,31
32,9
33,9
34,25
35,34
36,10
37,21
38,18
39,31
40,37
41,16
42,3
43,37
44,26
45,29
46,23
47,9
48,22
49,35
50,30
51,30
52,30
53,10
54,5
55,5
56,5
57,18
58,1
59,12
60,22
61,25
62,7
63,7
64,21
65,7
66,7
67,21
68,4
69,4
70,36
71,14
72,38
73,35
74,10
75,9
76,3
77,3
78,12
79,23
80,22
81,26
82,6
83,39
84,39
85,9
86,19
87,14
88,19
89,11
90,38
91,36
92,30
93,27
94,25
95,39
96,8
97,7
98,13
99,8
100,32
101,3
102,19
103,40
104,13
105,2
106,2
107,2
108,15
109,36
110,32
111,30
112,22
113,31
114,25
115,5
116,9
117,35
118,35
119,22
120,36
121,18
122,19
123,40
124,1
125,9
126,40
127,30
128,33
129,21
130,14
131,21
132,23
133,21
134,17
135,22
136,39
137,21
138,40
139,34
140,20
141,8
142,9
143,28
144,40
145,30
146,1
147,5
148,35
149,2
150,25
151,35
152,15
153,25
154,36
155,13
156,30
157,4
158,36
159,5
160,14
161,22
162,11
163,3
164,3
165,33
166,20
167,23
168,21
169,37
170,9
171,33
172,25
173,31
174,24
175,29
176,25
177,19
178,27
179,34
180,8
181,36
182,22
183,24
184,32
185,7
186,9
187,20
188,37
189,40
190,6
191,21
192,11
193,36
194,38
195,40
196,40
197,19
198,37
199,19
200,39
201,11
202,21
203,34
204,30
205,38
206,39
207,31
208,27
209,20
210,33
211,31
212,4
213,18
214,4
215,39
216,4
217,30
218,34
219,17
220,4
221,30
222,9
223,39
224,1
225,37
226,38
227,29
228,34
229,39
230,10
231,34
232,25
233,25
234,11
235,21
236,11
237,21
238,8
239,7
240,7
241,7
242,8
243,22
244,16
245,30
246,8
247,31
248,22
249,32
250,3
251,32
252,33
253,9
254,8
255,9
256,29
257,23
258,38
259,34
260,29
261,28
262,25
263,32
264,38
265,16
266,5
267,25
268,24
269,25
270,31
271,8
272,9
273,2
274,12
275,30
276,1
277,26
278,25
279,37
280,38
281,2
282,1
283,38
