abstracts,clusters
1,1
2,3
3,1
4,2
5,10
6,14
7,4
8,15
9,19
10,22
11,4
12,25
13,28
14,11
15,3
16,3
17,23
18,31
19,4
20,23
21,31
22,2
23,33
24,4
25,20
26,26
27,5
28,23
29,23
30,6
31,6
32,34
33,28
34,24
35,7
36,1
37,11
38,23
39,15
40,2
41,16
42,4
43,17
44,4
45,1
46,35
47,36
48,22
49,32
50,4
51,20
52,36
53,6
54,18
55,33
56,31
57,22
58,8
59,31
60,27
61,10
62,31
63,12
64,12
65,3
66,2
67,36
68,2
69,20
70,1
71,4
72,31
73,4
74,29
75,9
76,8
77,11
78,20
79,9
80,6
81,4
82,19
83,8
84,16
85,31
86,2
87,10
88,26
89,31
90,2
91,12
92,13
93,23
94,3
95,29
96,4
97,23
98,2
99,17
100,19
101,7
102,29
103,26
104,9
105,2
106,11
107,16
108,35
109,28
110,36
111,8
112,15
113,8
114,23
115,17
116,24
117,3
118,27
119,5
120,6
121,3
122,21
123,29
124,32
125,23
126,36
127,8
128,19
129,26
130,12
131,5
132,1
133,4
134,1
135,4
136,26
137,3
138,3
139,29
140,29
141,25
142,1
143,22
144,34
145,36
146,2
147,4
148,28
149,30
150,2
151,4
152,31
153,23
154,29
155,29
156,2
157,31
158,22
159,33
160,3
161,22
162,1
163,35
164,1
165,14
166,22
167,3
168,1
169,35
170,2
171,4
172,2
173,6
174,26
175,15
176,7
177,29
178,12
179,25
180,23
181,4
182,22
183,1
184,4
185,13
186,27
187,34
188,4
189,36
190,21
191,8
192,4
193,28
194,29
195,7
196,20
197,24
198,16
199,24
200,34
201,13
202,28
203,27
204,3
205,27
206,25
207,4
208,35
209,32
210,3
211,20
212,1
213,31
214,1
215,14
216,14
217,2
218,4
219,2
220,14
221,5
222,2
223,2
224,23
225,32
226,16
227,6
228,24
229,32
230,9
231,8
232,4
233,24
234,15
235,4
236,1
237,24
238,24
239,18
240,3
241,1
242,5
243,31
244,18
245,36
246,14
247,2
248,22
249,1
250,32
251,23
252,14
253,1
254,7
255,23
256,4
257,9
258,19
259,29
260,8
261,10
262,6
263,5
264,17
265,17
266,10
267,24
268,23
269,27
270,5
271,3
272,1
273,26
274,1
275,1
276,30
277,32
278,32
279,16
280,32
281,20
282,29
283,35
