abstract,cluster
1,1
2,4
3,4
4,5
5,5
6,9
7,5
8,2
9,6
10,11
11,11
12,6
13,12
14,20
15,11
16,6
17,6
18,13
19,14
20,14
21,16
22,6
23,11
24,21
25,12
26,5
27,13
28,7
29,8
30,13
31,21
32,6
33,13
34,4
35,15
36,7
37,4
38,11
39,8
40,2
41,9
42,7
43,17
44,15
45,13
46,4
47,6
48,8
49,18
50,13
51,11
52,13
53,6
54,7
55,12
56,6
57,9
58,9
59,9
60,15
61,7
62,4
63,4
64,5
65,6
66,5
67,5
68,3
69,22
70,22
71,2
72,2
73,14
74,7
75,6
76,7
77,7
78,7
79,8
80,11
81,8
82,22
83,8
84,1
85,6
86,18
87,5
88,11
89,11
90,9
91,23
92,13
93,12
94,12
95,9
96,6
97,6
98,19
99,4
100,11
101,17
102,17
103,10
104,12
105,8
106,8
107,19
108,13
109,13
110,20
111,11
112,11
113,5
114,13
115,12
116,17
117,15
118,20
119,14
120,16
121,23
122,18
123,1
124,10
125,6
126,20
127,11
128,13
129,6
130,8
131,17
132,6
133,11
134,19
135,5
136,7
137,12
138,16
139,12
140,17
141,13
142,13
143,19
144,5
145,22
146,2
147,7
148,14
149,11
150,9
151,8
152,4
153,7
154,22
155,3
156,24
157,21
158,11
159,8
160,7
161,8
162,7
163,7
164,16
165,9
166,4
167,6
168,6
169,9
170,4
171,23
172,11
173,20
174,18
175,21
176,7
177,3
178,12
179,8
180,5
181,11
182,6
183,12
184,13
185,6
186,6
187,19
188,9
189,22
190,24
191,5
192,4
193,16
194,1
195,1
196,2
197,5
198,10
199,4
200,2
201,14
202,8
203,1
204,11
205,8
206,2
207,6
208,12
209,4
210,23
211,6
212,22
213,21
214,24
215,22
216,24
217,1
218,7
219,19
220,22
221,12
222,17
223,10
224,2
225,9
226,2
227,23
228,11
229,18
230,8
231,13
232,8
233,5
234,16
235,7
236,7
237,4
238,5
239,4
240,4
241,4
242,11
243,4
244,15
245,23
246,11
247,12
248,8
249,11
250,6
251,11
252,13
253,7
254,7
255,5
256,8
257,6
258,3
259,12
260,16
261,4
262,12
263,24
264,2
265,9
266,12
267,4
268,11
269,21
270,12
271,19
272,4
273,5
274,6
275,13
276,9
277,8
278,8
279,8
280,2
281,2
282,2
283,2
