abstracts,clusters
1,1
2,13
3,5
4,7
5,9
6,14
7,15
8,15
9,13
10,10
11,10
12,11
13,9
14,22
15,23
16,1
17,11
18,26
19,30
20,17
21,31
22,7
23,17
24,35
25,27
26,1
27,35
28,22
29,5
30,26
31,28
32,32
33,17
34,18
35,29
36,33
37,3
38,11
39,40
40,41
41,16
42,16
43,19
44,13
45,3
46,33
47,42
48,19
49,18
50,24
51,24
52,36
53,32
54,17
55,5
56,1
57,28
58,2
59,20
60,6
61,27
62,28
63,7
64,7
65,7
66,8
67,43
68,8
69,37
70,36
71,36
72,15
73,16
74,17
75,4
76,3
77,3
78,19
79,3
80,26
81,31
82,28
83,25
84,25
85,2
86,18
87,4
88,3
89,6
90,8
91,16
92,24
93,24
94,1
95,2
96,10
97,6
98,12
99,5
100,8
101,43
102,38
103,9
104,11
105,2
106,15
107,14
108,13
109,1
110,25
111,27
112,26
113,40
114,28
115,27
116,1
117,27
118,27
119,27
120,34
121,20
122,22
123,4
124,4
125,24
126,6
127,23
128,10
129,43
130,7
131,11
132,21
133,3
134,6
135,11
136,6
137,32
138,1
139,25
140,2
141,11
142,10
143,22
144,11
145,21
146,38
147,16
148,2
149,31
150,28
151,2
152,20
153,8
154,2
155,17
156,43
157,37
158,36
159,40
160,29
161,5
162,15
163,3
164,3
165,3
166,43
167,4
168,29
169,6
170,33
171,3
172,43
173,26
174,2
175,30
176,32
177,32
178,16
179,18
180,22
181,6
182,25
183,28
184,12
185,41
186,6
187,27
188,6
189,43
190,39
191,15
192,5
193,7
194,19
195,11
196,23
197,23
198,4
199,4
200,4
201,24
202,19
203,31
204,34
205,31
206,34
207,7
208,42
209,42
210,2
211,34
212,26
213,36
214,30
215,36
216,39
217,36
218,37
219,8
220,4
221,36
222,43
223,9
224,39
225,16
226,16
227,13
228,30
229,43
230,22
231,3
232,24
233,29
234,4
235,17
236,7
237,6
238,5
239,7
240,12
241,4
242,5
243,26
244,25
245,1
246,32
247,6
248,2
249,26
250,38
251,6
252,35
253,38
254,6
255,6
256,6
257,28
258,27
259,15
260,42
261,21
262,29
263,41
264,41
265,16
266,16
267,43
268,42
269,43
270,34
271,26
272,12
273,11
274,41
275,18
276,22
277,20
278,20
279,28
280,16
281,16
282,16
283,16
