abstract,cluster
1,1
2,2
3,5
4,5
5,6
6,9
7,10
8,10
9,3
10,14
11,15
12,2
13,2
14,25
15,14
16,5
17,27
18,27
19,3
20,27
21,16
22,6
23,19
24,19
25,20
26,21
27,21
28,2
29,27
30,20
31,19
32,6
33,4
34,2
35,19
36,11
37,5
38,22
39,28
40,1
41,1
42,6
43,1
44,3
45,4
46,3
47,6
48,27
49,16
50,28
51,17
52,22
53,3
54,2
55,28
56,27
57,2
58,2
59,3
60,4
61,3
62,5
63,29
64,3
65,5
66,3
67,28
68,17
69,17
70,26
71,11
72,11
73,4
74,11
75,3
76,6
77,3
78,6
79,28
80,28
81,28
82,25
83,20
84,16
85,6
86,29
87,12
88,15
89,18
90,9
91,18
92,21
93,2
94,20
95,9
96,6
97,7
98,10
99,7
100,20
101,15
102,13
103,9
104,14
105,11
106,6
107,11
108,4
109,2
110,2
111,21
112,28
113,28
114,4
115,19
116,16
117,28
118,21
119,28
120,18
121,16
122,13
123,1
124,1
125,3
126,25
127,23
128,20
129,5
130,12
131,16
132,3
133,3
134,29
135,27
136,4
137,20
138,16
139,14
140,29
141,5
142,4
143,29
144,7
145,23
146,1
147,2
148,27
149,3
150,20
151,2
152,18
153,20
154,15
155,25
156,26
157,23
158,3
159,28
160,2
161,2
162,11
163,11
164,11
165,2
166,5
167,3
168,5
169,20
170,29
171,19
172,21
173,28
174,16
175,19
176,28
177,29
178,15
179,28
180,2
181,22
182,27
183,14
184,28
185,8
186,4
187,29
188,25
189,26
190,25
191,5
192,6
193,8
194,9
195,9
196,1
197,13
198,1
199,13
200,25
201,3
202,27
203,16
204,23
205,28
206,14
207,27
208,20
209,10
210,19
211,28
212,26
213,19
214,26
215,17
216,23
217,26
218,28
219,11
220,26
221,20
222,29
223,26
224,1
225,9
226,1
227,19
228,19
229,26
230,3
231,27
232,28
233,2
234,6
235,6
236,6
237,5
238,27
239,29
240,5
241,29
242,17
243,21
244,14
245,25
246,2
247,2
248,27
249,27
250,8
251,20
252,22
253,4
254,11
255,3
256,27
257,27
258,12
259,24
260,16
261,7
262,28
263,24
264,12
265,1
266,20
267,20
268,20
269,19
270,21
271,5
272,5
273,3
274,3
275,19
276,2
277,28
278,19
279,10
280,1
281,18
282,9
283,1
