abstract,cluster
1,1
2,1
3,2
4,3
5,18
6,8
7,8
8,10
9,12
10,13
11,4
12,18
13,5
14,13
15,25
16,14
17,25
18,19
19,20
20,20
21,2
22,3
23,13
24,26
25,15
26,18
27,4
28,13
29,27
30,16
31,28
32,27
33,27
34,21
35,26
36,9
37,29
38,9
39,14
40,9
41,9
42,1
43,3
44,2
45,25
46,22
47,30
48,28
49,1
50,5
51,10
52,21
53,21
54,13
55,25
56,16
57,2
58,5
59,25
60,14
61,21
62,2
63,2
64,27
65,21
66,26
67,21
68,13
69,10
70,10
71,8
72,9
73,21
74,3
75,9
76,6
77,6
78,6
79,16
80,29
81,15
82,9
83,9
84,7
85,28
86,3
87,8
88,15
89,21
90,8
91,15
92,25
93,13
94,2
95,13
96,6
97,12
98,13
99,18
100,26
101,3
102,3
103,12
104,13
105,8
106,32
107,32
108,4
109,23
110,15
111,23
112,23
113,18
114,15
115,9
116,7
117,13
118,13
119,3
120,8
121,19
122,1
123,1
124,21
125,15
126,23
127,12
128,18
129,23
130,29
131,20
132,2
133,30
134,3
135,12
136,21
137,25
138,6
139,27
140,9
141,13
142,5
143,29
144,15
145,12
146,32
147,13
148,4
149,14
150,13
151,14
152,7
153,13
154,3
155,3
156,10
157,12
158,13
159,26
160,29
161,13
162,6
163,6
164,6
165,13
166,1
167,15
168,30
169,23
170,22
171,20
172,13
173,25
174,26
175,20
176,13
177,22
178,17
179,29
180,8
181,27
182,16
183,12
184,21
185,30
186,15
187,15
188,18
189,11
190,1
191,31
192,7
193,6
194,31
195,19
196,33
197,1
198,1
199,19
200,5
201,15
202,28
203,7
204,27
205,13
206,18
207,25
208,27
209,29
210,15
211,27
212,12
213,20
214,11
215,11
216,11
217,4
218,21
219,9
220,11
221,19
222,3
223,10
224,33
225,32
226,32
227,20
228,17
229,5
230,6
231,5
232,16
233,1
234,6
235,7
236,6
237,25
238,26
239,21
240,2
241,15
242,23
243,28
244,29
245,24
246,30
247,2
248,26
249,13
250,12
251,24
252,13
253,29
254,7
255,30
256,2
257,30
258,9
259,29
260,6
261,16
262,13
263,4
264,33
265,33
266,18
267,26
268,19
269,20
270,23
271,15
272,8
273,9
274,2
275,5
276,5
277,5
278,17
279,32
280,13
281,32
282,32
283,9
