Abstract,Abstract Description,Name/Institution/Workplace,Time Slot,Student Presenter
The Challenge of Creating Data Collection Methods that are Neither Too Far Ahead nor Behind our Survey Respondents,"The last ten years have witnessed enormous increases in computer memory, connectivity, storage and sensor capabilities, making it possible to obtain and send information from nearly anywhere to everywhere, and do it on pocket-size devices as easy to carry as one’s wallet. The long-term implications of these developments for conducting surveys are likely to be enormous, but will happen at a more measured pace than the technology allows. In this presentation I will discuss the transition away from long established survey data collection methods towards newer ones, and the challenge data collection methodologists face in being neither too far ahead or too far behind where people are at this time of rapidly accelerating change. In particular, I will discuss the recent development of web-push data collection methods, i.e. contacting sample units by one mode, usually postal mail, to request a response over the Internet, while withholding other response options until later contacts.",Don A. Dillman Washington State University,Monday 08:40-09:45,N
The Analysis of Longitudinal Multivariate (Discrete or Continuous) Traits under Irregular Time Measurements,"There are well known methods to analyse longitudinal continuous variables with regularly spaced measurements and some of them (in particular, mixed models) have been adapted to deal with longitudinal quantitative traits. Nonetheless, the problem is far from being solved. The modelling and analysis of longitudinal multivariate discrete and or continuous traits poses various challenges to accommodate the family structure and irregular time measurements. In this presentation we discuss these challenges and propose some ways of addressing the problems.",J. Concepcion Loredo-Osti Memorial University of Newfoundland,Monday 10:20-10:50,N
An Ancestral Tree-Based Approach to Detect Rare and Common Variants,"For detecting genetic variants associated with a disease or trait, it is useful to consider the ancestral trees that gave rise to the sample's genetic variability. For both rare and common disease or trait influencing genetic variants, we expect to see haplotypes from individuals with similar values of the disease or trait clustered together in the ancestral tree corresponding to the genomic location of the variant. In this presentation, we describe how tree-based statistics can be used for detecting both rare and common genetic variants associated with either continuous or dichotomous outcomes. We summarize the performance of these statistics on simulated data having known and missing tree structures and we compare results to those obtained using conventional approaches to detect genetic association. Finally, application of the tree-based method to real data is also discussed.",Kelly M. Burkett University of Ottawa,Monday 10:50-11:20,N
"Mapping Complex Traits, Rare Variants and Interaction via the Coalescent Process with Recombination ","Genetic population data is the result of the evolution of chromosomes on this population; thus, it has been found natural to try to analyze such data by modeling the unknown history of this population. By combining an approach based on the coalescent process with recombination and importance sampling techniques, we can show how this stochastic process can be used to map genes influencing a disease. We address issues pertaining to complex diseases, whether this complexity is due to incomplete penetrance or phenocopy, to multiple rare variants, or to the interaction between genes. We introduce the progress made in building such histories and outline the remaining challenges. ",Fabrice Larribe Université du Québec à Montréal,Monday 11:20-11:50,N
How Best to Bridge the Gap between Statistics and Medical Practice,"One of the interesting questions in statistics is how to handle the duality of developing methodology that is sound and also easily interpretable in an applied space. Particularly in medical research there may be an understanding that a problem has been simplified for easy testing or power. These simplified solutions become the accepted standard of practice. As methodologies and capacity grow it is worth revisiting these simplifications to develop the methodology to better align with the goal. For the statistician there is an opportunity to either aim for a robust approach and present a new method, or new measurement, that addresses these simplifications or work to an incremental approach that steps the applied user closer to the goal over time. We will work through an example from the composite endpoints used in cardiovascular clinical trials. In these trials fatal and non-fatal events are combined into a single analysis for regulatory approval.",Jeffrey A. Bakal Alberta Health Services,Monday 10:20-11:05,N
Some Experiences From an Industry Collaboration,"A successful industry collaboration, which has spanned around eight years and received support from NSERC, OCE, and MITACS, is described. Details of many aspects of the collaboration are discussed, including funding opportunities that were exploited. Special attention is paid to some of research that took place as part of the collaboration and tangentially to it.",Paul D. McNicholas McMaster University,Monday 11:05-11:50,N
 Statistical Disclosure Control for Statistical Outputs: Where Do We Go From Here? ,"I provide an overview of types of disclosure risks in traditional forms of data dissemination by statistical agencies, how the risk and information loss can be quantified and some recommended applications of disclosure control techniques. Statistical agencies, however, are making more use of restricting and licensing data as a statistical disclosure control approach given the difficulties in producing safe data. We look at new strategies for data dissemination and discuss their potential and limitations. These include web-based applications where the outputs are protected without the need for human intervention to check for disclosure risks, on-site data enclaves and its extension where researchers can access confidential data on their personal PCs through a remote server and the production and release of ‘synthetic’ data based on advanced statistical models. The link to the Computer Science definition of differential privacy will be discussed.",Natalie Shlomo University of Manchester,Monday 10:20-10:50,N
What is Synthetic about Synthetic Datasets?,"When synthetic datasets were proposed as a way to protect the confidentiality of respondents, the reasoning was that since they are not about anyone in the real dataset, they do not pose any risk. Our understanding of the risk of these datasets has however evolved, and we now know that they are not risk free. Nevertheless, synthetic datasets can be a useful tool for privacy protection and there is now a growing literature on the best techniques for creating and analysing synthetic datasets. But this has lead to the term synthetic dataset being used in a lot of different contexts, and it is not clear anymore what the essence of a synthetic dataset is. What really differentiates a synthetic dataset from a perturbed real dataset? This talk explores the main attributes of synthetic datasets and offers some thoughts for thinking and talking about them.",Anne-Sophie Charest Université Laval,Monday 10:50-11:20,N
Disclosure Control and Random Tabular Adjustment ,"Statistical agencies are interested in publishing useful statistical data but doing so may lead to the disclosure of individuals' private data. This is a problem, as it leads to a trade-off between the utility of the published data and the risk of disclosure of confidential data. Disclosure control can be seen as the use of methods to deal with this problem by assessing and controlling the risk of disclosing confidential data while also providing researchers with useful statistical data. This paper describes a disclosure control model based largely on Bayesian decision theory. This model allows for the description of the concepts of disclosure control in terms of familiar statistical concepts such as expectation and variance. A method of disclosure control, called random tabular adjustment (RTA), is described. This method controls the risk of disclosure by randomly adjusting the data instead of suppressing cells. It fits naturally into the disclosure control model described.",Mark Stinner Statistics Canada,Monday 11:20-11:50,N
A Potts Mixture Spatiotemporal Joint Model for Combined MEG and EEG Data,"We consider the ill-posed inverse problem arising when magnetoencephalography (MEG) and/or electroencephalography (EEG) are used to measure electromagnetic brain activity over an array of sensors at the scalp and it is of interest to map these data back to the sources of neural activity within the brain. We review existing approaches to solving this inverse problem and discuss the mesostate-space model (MSM) proposed by Daunizeau and Friston (Neuroimage, 2007). We then propose a new model that builds on the MSM and incorporates three major extensions: (i) We combine EEG and MEG data together and formulate a joint model for source reconstruction; (ii) we incorporate the Potts model to represent the spatial dependence in an allocation process that partitions the cortical surface into a small number of latent mesostates; (iii) we formulate the mesostate dynamics in a more flexible manner so that the model can characterize the functional connectivity between mesosources. We formulate the model, discuss computational implementation, and make comparisons to existing methods.","Farouk Nathoo University of Victoria, Yin Song University of Victoria",Monday 10:20-10:42,N
